DATA_HEADER,DATE,TIME,SECONDS,NANOSECONDS,DIAG,GPS_LAT,GPS_LONG,GPS_ELEV,GPS_NUMSAT,GPS_HORIZDILUTION,GPS_GEOIDALHEIGHT,GPS_VELOCITY,GPS_DIRECTION,SONIC_U,SONIC_V,SONIC_W,SONIC_SOS,SONIC_TEMP,SONIC_AIN1,SONIC_AIN2,SONIC_AIN3,SONIC_AIN4,SONIC_PRT,CH4D,CH4,CH4_TEMP,CH4_PRESSURE,CH4_RSSI,CH4_DROPRATE,CH4_AUX1,CH4_AUX2,CH4_AUX3,CH4_AUX4
DATA,2015-10-13,13:42:19,1444765339,200000000,0,40.574473635,105.083534255,1537.5,5,1.8,-20.9,0.216067,285.7,-0.39,0.39,0.05,348.54,28.43,2.4212,2.4206,2.4219,2.4231,0,0.0785679,1.99356,27.8583,84.9925,62.32,0,-1.226e-09,-7.83429e-05,0,0
DATA,2015-10-13,13:42:19,1444765339,300000000,0,40.5744735333,105.083534482,1537.5,5,1.8,-20.9,0.216067,285.7,-0.32,0.31,0.11,348.59,28.52,2.4212,2.4206,2.4219,2.4231,0,0.0785776,1.99385,27.8615,84.9908,62.3162,0,0.000117509,3.91678e-05,7.8338e-05,7.83404e-05
DATA,2015-10-13,13:42:19,1444765339,400000000,0,40.5744735917,105.083534793,1537.5,5,1.8,-20.9,0.216067,285.7,-0.24,0.32,0.07,348.48,28.33,2.4219,2.4212,2.4219,2.4225,0,0.0786221,1.99485,27.848,84.9902,62.2438,0,3.91702e-05,-7.83417e-05,0,-1.226e-09
DATA,2015-10-13,13:42:19,1444765339,500000000,0,40.57447362,105.08353513,1537.5,5,1.8,-20.9,0.216067,285.7,-0.23,0.36,0.04,348.65,28.62,2.4212,2.4212,2.4219,2.4225,0,0.0784076,1.98959,27.8665,84.9896,62.2682,0,0.000117509,3.9169e-05,7.83392e-05,0.000117509
DATA,2015-10-13,13:42:19,1444765339,600000000,0,40.5744760617,105.08353973,1537.1,6,1.6,-20.9,0.216067,285.7,-0.32,0.39,0.02,348.93,29.11,2.4219,2.4212,2.4219,2.4231,0,0.0785991,1.99431,27.8523,84.9902,62.2656,0,0.000117508,3.91665e-05,0.000117508,3.9169e-05
DATA,2015-10-13,13:42:19,1444765339,700000000,0,40.57447837,105.083543815,1536.7,6,1.6,-20.9,0.216067,285.7,-0.36,0.31,-0.02,349.21,29.59,2.4219,2.4206,2.4219,2.4231,0,0.0787586,1.99848,27.8637,84.9873,62.2578,0,7.8338e-05,-3.91702e-05,3.91678e-05,3.9169e-05
DATA,2015-10-13,13:42:19,1444765339,800000000,0,40.5744802533,105.083547325,1536.4,6,1.6,-20.9,0.216067,285.7,-0.23,0.23,-0.03,349.11,29.42,2.4219,2.4212,2.4225,2.4225,0,0.0787593,1.9985,27.8658,84.9902,62.2502,0,3.91702e-05,-3.91727e-05,-1.226e-09,0
DATA,2015-10-13,13:42:19,1444765339,900000000,0,40.5744819917,105.083550508,1536.1,6,1.6,-20.9,0.216067,285.7,-0.08,0.19,0.14,348.96,29.16,2.4212,2.4206,2.4225,2.4225,0,0.0789342,2.00291,27.8632,84.9902,62.2356,0,7.8338e-05,7.83404e-05,7.83392e-05,7.83392e-05
DATA,2015-10-13,13:42:20,1444765340,0,0,40.5744836183,105.08355334,1535.9,6,1.6,-20.9,0.216067,285.7,0.05,0.15,0.26,349.11,29.42,2.4219,2.4212,2.4219,2.4231,0,0.0787452,1.99812,27.8626,84.989,62.2732,0,0,-3.91702e-05,-3.91702e-05,0
DATA,2015-10-13,13:42:20,1444765340,100000000,0,40.57448513,105.083556017,1535.7,6,1.6,-20.9,0.200633,292.6,0,0.15,0.32,349.21,29.59,2.4212,2.4212,2.4219,2.4231,0,0.0787538,1.99832,27.8612,84.9902,62.2397,0,3.91702e-05,-1.226e-09,0,0
DATA,2015-10-13,13:42:20,1444765340,200000000,0,40.5744865683,105.083558418,1535.5,6,1.6,-20.9,0.200633,292.6,-0.06,0.22,0.27,349.2,29.58,2.4219,2.4206,2.4219,2.4231,0,0.0788983,2.00205,27.868,84.9902,62.218,0,7.83392e-05,3.9169e-05,3.9169e-05,7.83392e-05
DATA,2015-10-13,13:42:20,1444765340,300000000,0,40.5744879767,105.083560557,1535.4,6,1.6,-20.9,0.200633,292.6,-0.07,0.08,0.27,349.46,30.03,2.4219,2.4212,2.4219,2.4231,0,0.0787985,1.99952,27.8682,84.9902,62.2063,0,7.83392e-05,-2.452e-09,7.83392e-05,3.91702e-05
DATA,2015-10-13,13:42:20,1444765340,400000000,0,40.5744896383,105.0835633,1535.2,6,1.6,-20.9,0.200633,292.6,0.07,-0.04,0.34,349.54,30.17,2.4219,2.4206,2.4219,2.4231,0,0.0787172,1.99751,27.8743,84.9902,62.2841,0,7.83392e-05,-2.452e-09,-2.452e-09,3.9169e-05
DATA,2015-10-13,13:42:20,1444765340,500000000,0,40.57449071,105.083565112,1535.1,6,1.6,-20.9,0.200633,292.6,-0.08,-0.12,0.37,349.62,30.31,2.4219,2.4206,2.4219,2.4231,0,0.0785811,1.99396,27.8634,84.989,62.2622,0,0.00015668,0.000117511,7.83392e-05,0.00015668
